,State,State ID,District,District ID,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,Total Number of reported live births,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,MMR,IMR,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres,GDP_PC,Poor_GDP_PC
140,Assam,4,Goalpara,11,2019,1,0,0,1,0,1,96.2,23599,97.6,11.4,60.9,105.8,59.2,88.9,19682,467,31,24595,131.36,19.79,183,155,41,12,12,1,209,86182,1
141,Assam,4,Golaghat,12,2017,0,1,0,0,0,0,97.0,15236,98.0,12.3,73.7,111.8,69.6,109.5,62,420,51,18441,334.73,27.57,58,157,65,8,1,1,232,74183,1
142,Assam,4,Golaghat,12,2018,1,0,1,0,1,0,98.0,14433,98.0,11.4,55.1,101.0,53.3,116.1,12057,419,32,19780,221.71,29.03,111,158,64,9,1,1,233,82078,1
143,Assam,4,Golaghat,12,2019,1,0,0,1,0,1,98.9,13521,98.2,12.0,70.5,102.0,66.9,109.5,13119,359,24,17547,177.5,26.55,183,158,64,9,1,1,233,86182,1
144,Assam,4,Hailakandi,13,2017,0,1,0,0,0,0,79.1,12411,97.2,10.5,53.3,121.4,52.1,128.0,0,469,20,18345,161.15,37.79,58,112,14,3,3,1,130,74183,1
145,Assam,4,Hailakandi,13,2018,1,0,1,0,1,0,85.6,13209,97.5,11.7,44.5,112.1,51.0,119.9,14191,371,28,18643,211.98,28.09,111,112,14,3,3,1,130,82078,1
146,Assam,4,Hailakandi,13,2019,1,0,0,1,0,1,90.4,12826,97.7,8.0,68.8,120.2,67.7,122.1,13624,256,7,18205,54.58,19.96,183,112,14,3,3,1,130,86182,1
147,Assam,4,Jorhat,14,2017,0,1,0,0,0,0,99.3,16229,98.1,19.1,79.6,101.0,64.1,108.3,810,393,29,22667,178.69,24.22,58,180,70,12,2,1,265,74183,1
148,Assam,4,Jorhat,14,2018,1,0,1,0,1,0,99.5,16497,98.4,11.2,71,103.5,60.7,119.7,16008,563,19,22902,115.17,34.13,111,180,70,12,2,1,265,82078,1
149,Assam,4,Jorhat,14,2019,1,0,0,1,0,1,99.6,15676,98.2,13.5,80.4,99.4,57.0,109.7,14505,597,22,18677,140.34,38.08,183,180,70,14,2,1,267,86182,1
150,Assam,4,Kamrup M,15,2017,0,1,0,0,0,0,99.1,36831,97.1,14.8,59.4,81.5,54.9,52.0,333,55,141,31905,382.83,1.49,58,51,46,3,3,4,104,74183,1
151,Assam,4,Kamrup M,15,2018,1,0,1,0,1,0,99.3,36656,97.1,16.0,85.8,96.2,39.9,62.3,14158,1425,127,33089,346.46,38.87,111,51,46,3,3,4,104,82078,1
